"email","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"JESSICA@fakemail.com","0","1","0","0","1","0","1","0","0","0","1","1"
"LINDA@paradise.com","1","0","0","0","0","0","0","0","0","0","1","0"
"DONALD@target.me","0","0","0","0","1","0","0","0","0","1","1","0"
"STANLEY@mail.me","0","0","0","0","0","0","0","0","0","0","0","1"
"KEVIN@paradise.com","0","0","0","1","0","0","0","0","0","1","0","0"
"TINA@paradise.com","0","0","0","0","0","0","0","0","0","0","0","0"
"MARY@email.com","0","0","0","0","0","0","0","0","0","0","0","0"
"LORRAINE@overview.com","1","1","0","1","1","0","0","0","0","1","0","0"
"JESSICA.1@mymail.ca","0","0","0","0","1","0","0","0","0","0","0","0"
"REBECA@fakemail.com","0","0","0","0","1","0","0","0","0","0","0","0"
"CRAIG@email.com","0","0","0","0","0","0","0","0","0","0","0","0"
"RICHARD@fakemail.com","0","0","0","0","0","0","0","0","0","0","0","0"
"CHARLES@myschool.edu","0","0","0","0","0","0","0","0","0","0","0","0"
"ALISA@target.me","0","0","0","0","0","0","0","0","0","0","0","1"
"PATTI@proudof.me","1","0","0","0","0","0","0","0","0","1","0","0"
"KARI@mail.me","0","0","0","0","0","0","0","0","1","0","0","1"
"DANA@mymail.ca","0","0","0","0","0","0","0","0","0","0","0","0"
"PAUL@proudof.me","1","0","0","1","0","1","0","0","0","0","0","0"
"LEAH@mymail.ca","0","0","0","0","0","0","0","0","0","0","0","0"
"BIANCA@paradise.com","1","0","0","0","1","0","0","0","0","0","0","0"
