ID,email,LastName,FirstName,Woman,Age,Salary,Education,City,Joined,Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,read_rate,Talkative,Outgoing,Forgiving,Thorough,Efficient,Energetic,Helpful_unselfish,Considerate,Cooperative,Relaxed,Emotionally_stable,Sophisticated_in_arts,Easily_distracted,Moody,Curious,2009 - Amount,2010 - Amount,2011 - Amount,2012 - Amount,2013 - Amount,2014 - Amount,2015 - Amount,2016 - Amount,2017 - Amount,2018 - Amount,2019 - Amount,2020 - Amount
5000001,jessica@fakemail.com,WEIK,JESSICA       ,1,55,13900,University / College,City,2013,jessica weik,0,1,0,0,1,0,1,0,0,0,1,1,0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,75,NA,NA,40
5000002,linda@paradise.com,MARTINEZ,LINDA         ,1,59,3500,High School,Suburban,2015,linda martinez,1,0,0,0,0,0,0,0,0,0,1,0,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,20
5000003,donald@target.me,LILLARD,DONALD        ,0,43,200100,University / College,Rural,2014,donald lillard,0,0,0,0,1,0,0,0,0,1,1,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
5000004,stanley@mail.me,DIGGS,STANLEY       ,0,81,14700,High School,Rural,2009,stanley diggs,0,0,0,0,0,0,0,0,0,0,0,1,0.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
5000005,kevin@paradise.com,RUSSELL,KEVIN         ,0,53,53800,University / College,Downtown,2010,kevin russell,0,0,0,1,0,0,0,0,0,1,0,0,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000006,tina@paradise.com,THRASHER,TINA          ,1,51,26100,University / College,Rural,2014,tina thrasher,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000007,mary@email.com,EMERY,MARY          ,1,64,92800,University / College,Suburban,2010,mary emery,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA
5000008,lorraine@overview.com,HARDY,LORRAINE      ,1,32,18700,High School,Suburban,2010,lorraine hardy,1,1,0,1,1,0,0,0,0,1,0,0,0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,20,10,NA,NA,NA
5000009,jessica.1@mymail.ca,COPE,JESSICA       ,1,43,95600,High School,Rural,2014,jessica cope,0,0,0,0,1,0,0,0,0,0,0,0,0.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000010,rebeca@fakemail.com,BROWN,REBECA        ,1,60,164900,High School,Downtown,2012,rebeca brown,0,0,0,0,1,0,0,0,0,0,0,0,0.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
